Dataset,Algorithm,Time (ms)
A,Insertion,16308.364810000001
A,Merge,44.92199999999684
A,Quick,19.110530000006065
A,Adaptive,20.754600000006462
B,Insertion,2.1990499999986923
B,Merge,31.129289999998377
B,Quick,12.825420000001486
B,Adaptive,3.1141199999950686
C,Insertion,18951.250609999992
C,Merge,29.207479999985253
C,Quick,12.666740000008758
C,Adaptive,14.199739999997973
D,Insertion,1222.121170000014
D,Merge,42.40667000000826
D,Quick,13.70879999999488
D,Adaptive,1149.3988100000024
E,Insertion,3451.5195599999856
E,Merge,44.26242000000684
E,Quick,3.7694799999940187
E,Adaptive,5.154649999997218
